ID,Pos_Count,Con_Count,P_r1_on,P_r1_dur,P_elab_on,P_elab_dur,P_r2_on,P_r2_dur,C_r1_dur,C_r1_dur,C_elab_on,C_elab_dur,C_r2_on,C_r2_dur,r1_on,r1_dur,elab_on,elab_dur,r2_on,r2_dur,P_feel_amq,P_feel1,P_feel2,C_feel_amq,C_feel1,C_feel2,Pos_feelch,Con_feelch,Differ_feelch,P_feel_2mon,C_feel_2mon,P_feelch_2mon,C_feelch_2mon,Differ_feelch_2mon,P_int_amq,P_int1,P_int2,C_int_amq,C_int1,C_int2,Pos_intch,Con_intch,Differ_intch,P_date,C_date,hipp_pos,hipp_con,hipp_diff,nacc_pos,nacc_con,nacc_diff,vmpfc_pos,vmpfc_con,vmpfc_diff
318,16,11,2.495875,2.7384375,2.6655625,4.1915625,1.4814375,1.7386875,2.234090909,2.464,1.659818182,2.050454545,1.219454545,1.456818182,2.389222222,2.62662963,2.255814815,3.319259259,1.374703704,1.623851852,2.6875,3.0625,4.1875,2.636363636,2.909090909,3.545454545,1.125,0.636363636,0.488636364,,,,,,3.1875,2.75,2.0625,3,3,1.909090909,-0.6875,-1.090909091,0.403409091,2.9375,3.909090909,0.45088149,-0.023896381,0.47477787,0.325636631,-0.090806246,0.416442877,-0.025048972,0.114702627,-0.139751598
320,14,13,1.6765,1.888285714,1.963714286,2.424857143,1.656142857,1.868,1.495769231,1.686384615,1.893384615,2.246769231,1.581230769,1.775846154,1.589481481,1.791074074,1.929851852,2.339111111,1.620074074,1.82362963,2.928571429,3.285714286,4.285714286,3.153846154,3.538461538,4.307692308,1,0.769230769,0.230769231,4.357142857,4.615384615,1.071428571,1.076923077,-0.005494505,2.357142857,2.785714286,2.071428571,2.615384615,2.384615385,2,-0.714285714,-0.384615385,-0.32967033,3.785714286,4.384615385,-0.043805559,-0.146385011,0.102579452,-0.378789245,0.243975018,-0.622764263,-0.378789245,-0.097590007,-0.281199238
321,11,11,3.316454545,3.474090909,5.693454545,7.615454545,2.118636364,2.276363636,3.534818182,3.688727273,4.628909091,9.490909091,1.975090909,2.135181818,3.425636364,3.581409091,5.161181818,8.553181818,2.046863636,2.205772727,2.363636364,3.818181818,3.818181818,2.363636364,3.363636364,3.363636364,0,0,0,,,,,,3.727272727,3.545454545,3.272727273,3.363636364,3.909090909,3.454545455,-0.272727273,-0.454545455,0.181818182,4.454545455,5,0.202259959,-0.077849894,0.280109853,-0.134839972,0.116774842,-0.251614814,0.337099931,-0.194624736,0.531724667
322,13,15,3.382461538,13.54584615,5.081384615,19.526,3,14,4.150866667,13.7154,2.961466667,18.3452,3,14,3.794107143,13.63667857,3.945714286,18.89342857,3,14,3.538461538,3.538461538,4.461538462,3.6,3.6,3.8,0.923076923,0.2,0.723076923,4.307692308,4.333333333,0.769230769,0.733333333,0.035897436,2.692307692,3,2.230769231,2.533333333,3,2.533333333,-0.769230769,-0.466666667,-0.302564103,5.230769231,4.6,0.210627561,0.260097213,-0.049469652,0.245251269,-0.031810451,0.27706172,-0.083673963,-0.147825035,0.064151072
323,15,13,2.381866667,2.568,4.519866667,4.9838,2.288866667,2.492333333,3.137,3.277153846,4.034846154,4.415461538,2.007076923,2.224769231,2.732464286,2.89725,4.294678571,4.719928571,2.158035714,2.368107143,3.533333333,3.2,3.333333333,3.769230769,3.615384615,3.923076923,0.133333333,0.307692308,-0.174358974,3.866666667,4.538461538,0.666666667,0.923076923,-0.256410256,2.333333333,3.733333333,3.533333333,2.384615385,3.461538462,2.461538462,-0.2,-1,0.8,4.133333333,4.769230769,0.279414435,-0.012104551,0.291518986,-0.17557799,0.121045507,-0.296623496,0.341716302,-0.084731855,0.426448157
324,13,12,2.455230769,2.623923077,2.940538462,3.368846154,1.704769231,1.871615385,2.814916667,2.999833333,1.975833333,2.326,2.0915,2.276083333,2.62788,2.80436,2.47748,2.86828,1.8904,2.06576,2.153846154,2.846153846,3.769230769,2.166666667,3.166666667,3.416666667,0.923076923,0.25,0.673076923,5.461538462,5.666666667,2.615384615,2.5,0.115384615,3.230769231,3.153846154,3,4,3.416666667,3,-0.153846154,-0.416666667,0.262820513,4.076923077,3.833333333,-0.33469585,0.375533808,-0.710229658,0.034623709,0.091038499,-0.05641479,-0.360663631,0.204836623,-0.565500254
326,8,13,2.760625,2.95075,3,20,2.590125,2.78025,2.753307692,2.922076923,3.816923077,10.56492308,3.775,4.447230769,2.756095238,2.933,3.505714286,14.1592381,3.323619048,3.812190476,3,3,4.375,2.846153846,3.307692308,3.615384615,1.375,0.307692308,1.067307692,4.875,4.923076923,1.875,1.615384615,0.259615385,3,3.75,3.25,3.230769231,3.384615385,3.461538462,-0.5,0.076923077,-0.576923077,3.625,4.615384615,-0.281718085,-0.148249863,-0.133468222,0.507092553,0.049416621,0.457675932,-0.507092553,0.074124932,-0.581217485
327,12,13,2.612833333,2.764,3.753333333,4.16,2.310833333,2.460416667,3.671846154,3.814076923,3.127307692,3.435846154,2.374153846,2.516153846,3.16352,3.31004,3.4278,3.78344,2.34376,2.4894,3.333333333,3.916666667,4.916666667,3.076923077,4.461538462,4.923076923,1,0.461538462,0.538461538,,,,,,2.75,2.166666667,2,2.846153846,2.153846154,1.923076923,-0.166666667,-0.230769231,0.064102564,4.5,4.230769231,0.607,0.026247658,0.580752342,0.53692657,-0.12248907,0.65941564,0.318453,0.387882055,-0.069429055
328,11,16,3.339727273,3.527545455,3,20,2.483727273,2.674272727,3.0536875,3.2315625,3.3536875,18.2661875,2.053875,2.2353125,3.170222222,3.352148148,3.209592593,18.97255556,2.229,2.414148148,4.090909091,5.545454545,5.909090909,4.4375,5.5,5.6875,0.363636364,0.1875,0.176136364,5.818181818,5.875,0.272727273,0.375,-0.102272727,1.090909091,1.181818182,1,1.1875,1,1,-0.181818182,0,-0.181818182,3.909090909,4.25,0.229405253,-0.156315032,0.385720285,0.372783537,-0.121578358,0.494361895,-0.253301634,-0.156315032,-0.096986602
329,13,16,2.977307692,3.157307692,3.320384615,3.749,2.019615385,2.196846154,2.776,2.947875,2.31475,2.647875,1.90025,2.0720625,2.866241379,3.041758621,2.765551724,3.141482759,1.953758621,2.128,4.076923077,4.076923077,4.076923077,4.25,4.375,4.625,0,0.25,-0.25,4.769230769,5,0.692307692,0.625,0.067307692,2.538461538,2.923076923,2.538461538,2.4375,2.375,2.25,-0.384615385,-0.125,-0.259615385,4.846153846,5.0625,0.669,0.175342802,0.493657198,-0.110423831,-0.165949437,0.055525606,0.18614303,0.228571866,-0.042428836
